Year,Sample_ID,Site,Stand,Plot,Species,N,C,Ca,K,Mg,Mn,Na,P,Sr,Comments
2010,122,BEF,C8,3,SM,5.618,NA,8.18,4.82,0.57,0.97,0.06,0.83,NA,10 LVS= 2.10g
2010,123,BEF,C8,3,YB,9.575,NA,11.99,8.81,2.42,0.71,0.13,1.67,NA,
2010,124,BEF,C8,4,BE,8.911,NA,6.54,5.16,0.71,0.86,0.06,0.21,NA,
2010,125,BEF,C8,4,SM,6.312,NA,7,4.35,0.47,0.97,0.04,0.23,NA,
2010,126,BEF,C8,4,BE,6.136,NA,7.43,4.28,0.85,0.89,0.05,0.16,NA,
2010,127,BEF,C8,4,SM,6.255,NA,9.25,5.02,0.79,0.87,0.1,0.19,NA,
2010,128,BEF,C9,1,BE,8.131,NA,7.54,4.89,0.91,1.02,0.07,0.2,NA,
2010,129,BEF,C9,1,SM,7.234,NA,7.76,5.44,0.59,0.6,0.06,0.16,NA,
2010,130,BEF,C9,1,YB,10.661,NA,11.02,5.31,1.86,0.59,0.14,0.33,NA,
2010,131,BEF,C9,1,BE,8.11,NA,7.84,4.33,1.1,0.6,0.04,0.17,NA,
2010,132,BEF,C9,1,SM,6.859,NA,6.27,3.36,0.59,0.6,0.05,0.15,NA,
2010,133,BEF,C9,2,BE,13.105,NA,NA,NA,NA,NA,NA,NA,NA,
2010,134,BEF,C9,2,SM,8.546,NA,7.05,5.18,0.53,0.71,0.07,0.21,NA,
2010,135,BEF,C9,2,YB,13.155,NA,10.83,6.97,1.68,0.57,0.17,0.58,NA,
2010,136,BEF,C9,2,SM,7.275,NA,7.72,4.22,0.69,0.64,0.07,0.16,NA,
2010,137,BEF,C9,2,YB,10.002,NA,7.49,5.78,0.75,0.67,0.06,0.17,NA,
2010,138,BEF,C9,3,BE,10.698,NA,7.2,5.28,0.76,0.67,0.05,0.33,NA,
2010,139,BEF,C9,3,SM,8.407,NA,6.55,4.85,0.45,0.61,0.05,0.27,NA,
2010,140,BEF,C9,3,YB,11.486,NA,11.16,7,1.66,0.47,0.26,0.35,NA,
2010,141,BEF,C9,3,SM,8.46,NA,7.93,4.18,0.63,0.74,0.07,0.25,NA,
2010,142,BEF,C9,4,BE,7.865,NA,8.32,4.28,0.8,0.97,0.06,0.22,NA,
2010,143,BEF,C9,4,SM,7.508,NA,7.55,3.51,0.63,0.87,0.04,0.22,NA,
2010,144,BEF,C9,4,YB,9.616,NA,13.09,5.49,1.35,0.62,0.08,0.24,NA,
2010,145,BEF,C9,4,BE,7.511,NA,7.6,4.39,0.78,0.74,0.04,0.15,NA,
2010,146,BEF,C9,4,SM,8.04,NA,8.11,2.85,0.72,1,0.05,0.21,NA,
2010,147,BEF,C9,4,YB,10.002,NA,15.49,2.88,1.94,0.75,0.09,0.23,NA,
2010,148,HB,HBM,1,BE,9.363,NA,7.23,4.03,1.03,0.59,0.13,0.36,NA,
2010,149,HB,HBM,1,RM,7.871,NA,NA,NA,NA,NA,NA,NA,NA,
2010,150,HB,HBM,1,WB,12.117,NA,8.1,6.95,1.14,0.37,0.18,0.4,NA,
2010,151,HB,HBM,2,ASP,14.506,NA,NA,NA,NA,NA,NA,NA,NA,
2010,152,HB,HBM,2,BE,8.756,NA,6.89,3.31,1.18,0.61,0.14,0.24,NA,
2010,153,HB,HBM,2,RM,8.528,NA,NA,NA,NA,NA,NA,NA,NA,
2010,154,HB,HBM,2,YB,12.988,NA,12.77,4.62,2.05,0.49,0.21,0.44,NA,6 lvs = 1.00g
2010,155,HB,HBM,2,WB,13.684,NA,NA,NA,NA,NA,NA,NA,NA,NOT ENOUGH SAMPLE
2010,156,HB,HBM,3,BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT ENOUGH SAMPLE
2010,,HB,HBM,3,BE,10.044,NA,9.483,1.791,1.514,2.429,0.087,0.476,0.039500183,Imputed from litterfall basket
2010,,HB,HBM,3,SM,11.799,NA,12.343,2.18,1.354,1.6,0.055,0.641,0.039811132,Imputed from litterfall basket
2010,157,HB,HBM,3,YB,12.951,NA,13.39,5.18,2.04,0.56,0.29,0.48,NA,
2010,158,HB,HBM,3,WB,10.782,NA,7.71,5.34,1.28,0.33,0.34,0.35,NA,
2010,159,HB,HBM,4,BE,10.996,NA,6.29,6.62,0.82,0.56,0.1,0.47,NA,
2010,160,HB,HBM,4,RM,9.082,NA,NA,NA,NA,NA,NA,NA,NA,
2010,161,HB,HBM,4,YB,14.189,NA,10.59,6.32,1.64,0.52,0.36,0.52,NA,
2010,162,HB,HBM,4,WB,11.758,NA,7.52,6.66,1.04,0.32,0.2,0.5,NA,
2010,163,HB,HBO,1,BE,8.759,NA,7.64,3.21,1.46,0.39,0.06,0.19,NA,
2010,164,HB,HBO,1,SM,7.867,NA,NA,NA,NA,NA,NA,NA,NA,NOT ENOUGH SAMPLE
2010,,HB,HBO,1,SM,9.421,NA,6.74,1.728,1.385,1.809,0.06,0.298,0.029504287,Imputed from litterfall basket
2010,165,HB,HBO,1,YB,11.424,NA,12.21,3.71,3.24,0.51,0.17,0.44,NA,
2010,166,HB,HBO,2,BE,9.935,NA,8.33,2.6,1.54,0.44,0.07,0.32,NA,
2010,167,HB,HBO,2,SM,7.613,NA,NA,NA,NA,NA,NA,NA,NA,
2010,168,HB,HBO,2,YB,11.536,NA,12.95,2.34,3.23,0.54,0.06,0.42,NA,
2010,169,HB,HBO,3,BE,10.536,NA,8.85,3.64,1.53,0.42,0.07,0.32,NA,
2010,170,HB,HBO,3,SM,8.045,NA,9.04,4.16,1.39,0.54,0.09,0.2,NA,
2010,171,HB,HBO,3,YB,11.486,NA,10.56,2.97,2.67,0.52,0.12,0.36,NA,
2010,172,HB,HBO,4,BE,8.234,NA,7.65,2.64,1.35,0.42,0.06,0.27,NA,
2010,173,HB,HBO,4,SM,7.306,NA,7.17,1.87,1.28,0.53,0.04,0.21,NA,
2010,174,HB,HBO,4,YB,12.808,NA,11,3.37,2.94,0.44,0.18,0.42,NA,
2010,175,JB,JBM,1,BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2010,176,JB,JBM,1,PC,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2010,177,JB,JBM,1,SM,NA,NA,14.294,4.012,1.365,1.143,0.031,0.317,0.042234548,Measured in 2023
