Site,Stand,Plot,Treatment,Ntrt,Ptrt,Species,Al,B,Ca,Fe,K,Mg,Mn,Na,P,S,Sr,Zn,Note,propC,propN,N,CN,Leaf_Number,Mass,Yearcut
BEF,C4,4,P,0,1,YB,0.0202,0.0317,11.6791,0.0487,5.0903,1.3418,4.2594,0.2868,3.1582,0.6344,0.0313,0.1656,,0.4955,0.006,5.966,83.05,27,4.66,1979
BEF,C6,1,NP,1,1,BE,0.0181,0.0139,7.7143,0.0348,3.4309,0.4114,1.3518,0.271,1.4579,0.6542,0.0201,0.0286,,0.5098,0.0072,7.237,70.44,27,5.71,1975
BEF,C6,1,NP,1,1,RM,0.0104,0.0156,7.0278,0.0507,5.3184,0.5289,1.1262,0.2682,1.7789,0.6817,0.0128,0.0208,,0.4966,0.0077,7.716,64.36,27,7.34,1975
BEF,C6,1,NP,1,1,WB,0.0187,0.0186,6.6574,0.0352,5.4409,0.6664,1.4162,4.6425,1.6262,0.6474,0.0161,0.1139,,0.5097,0.0069,6.901,73.85,27,5.43,1975
BEF,C6,1,NP,1,1,YB,0.0198,0.0236,9.6303,0.048,6.4572,1.1279,2.1022,4.467,2.0418,0.6831,0.0239,0.1772,,0.504,0.0083,8.266,60.97,28,4.71,1975
BEF,C6,2,Control,0,0,BE,0.0191,0.0162,7.8586,0.0447,4.6376,0.5988,1.6332,0.2748,0.2678,0.7151,0.0149,0.022,,0.5042,0.0059,5.93,85.02,29,5.59,1975
BEF,C6,2,Control,0,0,RM,0.01,0.0157,7.0625,0.0432,4.315,0.6908,1.2664,0.2763,0.3688,0.7928,0.0108,0.0228,,0.504,0.0058,5.757,87.53,27,5.77,1975
BEF,C6,2,Control,0,0,WB,0.0189,0.0209,6.9883,0.0405,5.2787,1.1429,1.6354,4.595,0.2548,0.6976,0.015,0.2037,,0.5139,0.0069,6.937,74.08,28,4.68,1975
BEF,C6,2,Control,0,0,YB,0.0158,0.0242,9,0.0436,3.9047,1.3066,2.607,0.3094,0.3147,0.6535,0.0205,0.2067,,0.5067,0.0081,8.133,62.47,27,4.44,1975
BEF,C6,3,N,1,0,BE,0.0195,0.0108,6.7609,0.0452,3.174,0.4107,1.7494,0.4431,0.1722,0.742,0.0116,0.023,,0.5136,0.0076,7.577,67.78,27,5.84,1975
BEF,C6,3,N,1,0,RM,0.0112,0.016,7.1237,0.0571,4.1761,0.8653,1.5631,0.2657,0.2616,0.7416,0.0111,0.031,,0.5067,0.0065,6.457,78.47,27,7.29,1975
BEF,C6,3,N,1,0,WB,0.0159,0.0189,7.1808,0.0421,5.1143,0.8277,1.7427,0.4791,0.3694,0.7828,0.0171,0.1363,,0.5133,0.0101,10.137,50.63,27,5.22,1975
